Name,Publisher,JIF,Quartile,OA,Scope,Subjects
JOURNAL OF SYSTEMS AND SOFTWARE,ELSEVIER SCIENCE INC,4.1,Q1,No,"The Journal of Systems and Software publishes papers covering all aspects of software engineering. All articles should provide evidence to support their claims, e.g. through empirical studies, simulation, formal proofs or other types of validation. Topics of interest include, but are not limited to: Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution; Agile, model-driven, service-oriented, open source and global software development; Approaches for cloud/fog/edge computing and virtualized systems; Human factors and management concerns of software development; Artificial Intelligence, data analytics and big data applied in software engineering; Metrics and evaluation of software development resources; DevOps, continuous integration, build and test automation; Business and economic aspects of software development processes; Software Engineering education.Join the conversation about this journal",Computer Science; Hardware and Architecture; Information Systems; Software
GROUP DECISION AND NEGOTIATION,SPRINGER,2.5,Q1,No,"The idea underlying the journal, Group Decision and Negotiation, emerges from evolving, unifying approaches to group decision and negotiation processes. These processes are complex and self-organizing involving multiplayer, multicriteria, ill-structured, evolving, dynamic problems. Approaches include (1) computer group decision and negotiation support systems (GDNSS), (2) artificial intelligence and management science, (3) applied game theory, experiment and social choice, and (4) cognitive/behavioral sciences in group decision and negotiation. A number of research studies combine two or more of these fields. The journal provides a publication vehicle for theoretical and empirical research, and real-world applications and case studies.Join the conversation about this journal","Arts and Humanities; Arts and Humanities (miscellaneous); Business, Management and Accounting; Management of Technology and Innovation; Strategy and Management; Decision Sciences; Decision Sciences (miscellaneous); Social Sciences; Social Sciences (miscellaneous)"
SOCIAL INDICATORS RESEARCH,SPRINGER,2.8,Q1,No,"Since its foundation in 1974, Social Indicators Research has become the leading journal on problems related to the measurement of all aspects of the quality of life. The journal continues to publish results of research on all aspects of the quality of life and includes studies that reflect developments in the field. It devotes special attention to studies on such topics as sustainability of quality of life, sustainable development, and the relationship between quality of life and sustainability. The topics represented in the journal cover and involve a variety of segmentations, such as social groups, spatial and temporal coordinates, population composition, and life domains. The journal presents empirical, philosophical and methodological studies that cover the entire spectrum of society and are devoted to giving evidences through indicators. It considers indicators in their different typologies, and gives special attention to indicators that are able to meet the need of understanding social realities and phenomena that are increasingly more complex, interrelated, interacted and dynamical. In addition, it presents studies aimed at defining new approaches in constructing indicators.Join the conversation about this journal",Arts and Humanities; Arts and Humanities (miscellaneous); Psychology; Developmental and Educational Psychology; Social Sciences; Social Sciences (miscellaneous); Sociology and Political Science
COMPUTERS IN HUMAN BEHAVIOR,PERGAMON-ELSEVIER SCIENCE LTD,8.9,Q1,No,"Computers in Human Behavior is a scholarly journal dedicated to examining the use of computers from a psychological perspective. Original theoretical works, research reports, literature reviews, software reviews, book reviews and announcements are published. The journal addresses both the use of computers in psychology, psychiatry and related disciplines as well as the psychological impact of computer use on individuals, groups and society. The former category includes articles exploring the use of computers for professional practice, training, research and theory development. The latter category includes articles dealing with the psychological effects of computers on phenomena such as human development, learning, cognition, personality, and social interactions. The journal addresses human interactions with computers, not computers per se. The computer is discussed only as a medium through which human behaviors are shaped and expressed. The primary message of most articles involves information about human behavior. Therefore, professionals with an interest in the psychological aspects of computer use, but with limited knowledge of computers, will find this journal of interest.Join the conversation about this journal",Arts and Humanities; Arts and Humanities (miscellaneous); Computer Science; Human-Computer Interaction; Psychology; Psychology (miscellaneous)
INTERNATIONAL JOURNAL OF HUMAN COMPUTER INTERACTION,TAYLOR & FRANCIS INC,4.9,Q1,No,"The International Journal of Human-Computer Interaction addresses the cognitive, creative, social, health, and ergonomic aspects of interactive computing. It emphasizes the human element in relation to the systems and contexts in which humans perform, operate, network, and communicate, including mobile apps, social media, online communities, and digital accessibility. The journal publishes original articles including reviews and reappraisals of the literature, empirical studies, and quantitative and qualitative contributions to the theories and applications of HCI.Join the conversation about this journal",Computer Science; Computer Science Applications; Human-Computer Interaction; Social Sciences; Human Factors and Ergonomics
ECONOMETRICA,WILEY,7.1,Q1,No,"Econometrica publishes original articles in all branches of economics - theoretical and empirical, abstract and applied, providing wide-ranging coverage across the subject area. It promotes studies that aim at the unification of the theoretical-quantitative and the empirical-quantitative approach to economic problems and that are penetrated by constructive and rigorous thinking. It explores a unique range of topics each year - from the frontier of theoretical developments in many new and important areas, to research on current and applied economic problems, to methodologically innovative, theoretical and applied studies in econometrics. Econometrica maintains a long tradition that submitted articles are refereed carefully and that detailed and thoughtful referee reports are provided to the author as an aid to scientific research, thus ensuring the high calibre of papers found in Econometrica. An international board of editors, together with the referees it has selected, has succeeded in substantially reducing editorial turnaround time, thereby encouraging submissions of the highest quality. We strongly encourage recent Ph. D. graduates to submit their work to Econometrica. Our policy is to take into account the fact that recent graduates are less experienced in the process of writing and submitting papers.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics"
ACCIDENT ANALYSIS AND PREVENTION,PERGAMON-ELSEVIER SCIENCE LTD,6.2,Q1,No,"Accident Analysis & Prevention provides wide coverage of the general areas relating to accidental injury and damage, including the pre-injury and immediate post-injury phases. Published papers deal with medical, legal, economic, educational, behavioral, theoretical or empirical aspects of transportation accidents, as well as with accidents at other sites. Selected topics within the scope of the Journal may include: studies of human, environmental and vehicular factors influencing the occurrence, type and severity of accidents and injury; the design, implementation and evaluation of countermeasures; biomechanics of impact and human tolerance limits to injury; modelling and statistical analysis of accident data; policy, planning and decision-making in safety.Join the conversation about this journal","Engineering; Safety, Risk, Reliability and Quality; Medicine; Public Health, Environmental and Occupational Health; Social Sciences; Human Factors and Ergonomics; Law"
ANNUAL REVIEW OF PUBLIC HEALTH,ANNUAL REVIEWS,20.7,Q1,No,"The Annual Review of Public Health, in publication since 1980, covers significant developments in the field of public health, including key developments and issues in epidemiology and biostatistics, environmental and occupational health, social environment and behavior, health services, and public health practice and policy. Volumes 38 (2017) and 39 (2018) are available open access under a Creative Commons Attribution (CC BY) license, and previous volumes (1980-2016) are also free to read. Support for this initiative to increase openness and transparency in research is provided by the Robert Wood Johnson Foundation.Join the conversation about this journal","Medicine; Medicine (miscellaneous); Public Health, Environmental and Occupational Health"
ARCHIVES OF PUBLIC HEALTH,BMC,3.2,Q1,Yes,"rchives of Public Health is a broad scope public health journal, dedicated to publishing all sound science in the field of public health. The journal aims to better the understanding of the health of populations. The journal contributes to public health knowledge, enhances the interaction between research, policy and practice and stimulates public health monitoring and indicator development. The journal considers submissions on health outcomes and their determinants, with clear statements about the public health and policy implications. Archives of Public Health welcomes methodological papers (e.g., on study design and bias), papers on health services research, health economics, community interventions, and epidemiological studies dealing with international comparisons, the determinants of inequality in health, and the environmental, behavioural, social, demographic and occupational correlates of health and diseases.Join the conversation about this journal","Medicine; Public Health, Environmental and Occupational Health"
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,ELSEVIER SCIENCE INC,2.4,Q2,Yes,"The Australian and New Zealand Journal of Public Health (ANZJPH) publishes peer-reviewed research into public health, relevant to researchers, practitioners and policy makers. The Journal has a major focus on Australia and New Zealand but articles from other countries are accepted provided that the implications for Australia and New Zealand are addressed. Authors from Australia and New Zealand are encouraged to locate their papers in the international literature. The Journal is multidisciplinary and aims to publish methodologically sound research from any of the academic disciplines that constitute public health. Articles on research methods and policy development are welcomed. Published six times a year, The Australian and New Zealand Journal of Public Health offers a variety of formats including research reports, Point of View articles, Brief Reports, editorials, and Letters to the Editors.Join the conversation about this journal","Medicine; Public Health, Environmental and Occupational Health"
BMC PUBLIC HEALTH,BMC,3.6,Q1,Yes,"BMC Public Health is an open access, peer-reviewed journal that considers articles on the epidemiology of disease and the understanding of all aspects of public health. The journal has a special focus on the social determinants of health, the environmental, behavioral, and occupational correlates of health and disease, and the impact of health policies, practices and interventions on the community.Join the conversation about this journal","Medicine; Public Health, Environmental and Occupational Health"
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,ELSEVIER SCI LTD,7.5,Q1,No,"Published by Elsevier in collaboration with the Association for Project Management (APM) and the International Project Management Association (IPMA)The International Journal of Project Management is the leading journal for the field of project management and organization studies. Its mission is to publish leading edge innovative research that significantly advances the field of project management and organizing. Published eight times a year it presents new knowledge on areas such as managing projects, programs and portfolios, project-based/oriented organizations, project networks, and project-oriented societies. It is dedicated to project management and organizing from the perspectives of organizational behavior, strategy, change, and innovation. Methodologically, IJPM covers the full range of empirically-based modes of enquiry using appropriate research frameworks, provided they demonstrate generic insights of significant value to project management. IJPM does not categorically exclude certain empirical methodologies, except however purely mathematical modeling or operations research pieces. Irrespective of the mode of enquiry or methods used, the key methodological issues in new submissions are: appropriateness of methodology to the research task, clarity in how the study has been carried out, rigor in the application of the methods, and consideration of relevant validity issues. Papers are also expected to explicitly build on current debates in recent literature and to contribute to theory. Occasionally IJPM publishes conceptual papers which fulfill a high-quality standard.Join the conversation about this journal","Business, Management and Accounting; Business and International Management; Management of Technology and Innovation; Environmental Science; Management, Monitoring, Policy and Law"
UTILITIES POLICY,ELSEVIER SCI LTD,4.4,Q2,No,"Utilities Policy is deliberately international, interdisciplinary, and intersectoral. Articles address utility trends and issues in both developed and developing economies. Authors and reviewers come from various disciplines, including economics, political science, sociology, law, finance, accounting, management, and engineering. Areas of focus include the utility and network industries providing essential electricity, natural gas, water and wastewater, solid waste, communications, broadband, postal, and public transportation services. Utilities Policy invites submissions that apply various quantitative and qualitative methods. Contributions are welcome from both established and emerging scholars as well as accomplished practitioners. Interdisciplinary, comparative, and applied works are encouraged. Submissions to the journal should have a clear focus on governance, performance, and/or analysis of public utilities with an aim toward informing the policymaking process and providing recommendations as appropriate. Relevant topics and issues include but are not limited to industry structures and ownership, market design and dynamics, economic development, resource planning, system modeling, accounting and finance, infrastructure investment, supply and demand efficiency, strategic management and productivity, network operations and integration, supply chains, adaptation and flexibility, service-quality standards, benchmarking and metrics, benefit-cost analysis, behavior and incentives, pricing and demand response, economic and environmental regulation, regulatory performance and impact, restructuring and deregulation, and policy institutions.Join the conversation about this journal","Business, Management and Accounting; Business and International Management; Economics, Econometrics and Finance; Economics and Econometrics; Environmental Science; Management, Monitoring, Policy and Law; Social Sciences; Development; Law; Sociology and Political Science; Transportation"
CHINESE JOURNAL OF MECHANICAL ENGINEERING,SPRINGER,4.5,Q1,Yes,"Chinese Journal of Mechanical Engineering (CJME) was launched in 1988. It is a peer-reviewed journal under the govern of China Association for Science and Technology (CAST) and sponsored by Chinese Mechanical Engineering Society (CMES). The publishing scopes of CJME follow with: Mechanism and Robotics, including but not limited to -- Innovative Mechanism Design -- Mechanical Transmission -- Robot Structure Design and Control -- Applications for Robotics (e.g., Industrial Robot, Medical Robot, Service Robot…) -- Tri-Co Robotics Intelligent Manufacturing Technology, including but not limited to -- Innovative Industrial Design -- Intelligent Machining Process -- Artificial Intelligence -- Micro- and Nano-manufacturing -- Material Increasing Manufacturing -- Intelligent Monitoring Technology -- Machine Fault Diagnostics and Prognostics Advanced Transportation Equipment, including but not limited to -- New Energy Vehicle Technology -- Unmanned Vehicle -- Advanced Rail Transportation -- Intelligent Transport System Ocean Engineering Equipment, including but not limited to --Equipment for Deep-sea Exploration -- Autonomous Underwater Vehicle Smart Material, including but not limited to --Special Metal Functional Materials --Advanced Composite Materials --Material Forming Technology.Join the conversation about this journal",Engineering; Industrial and Manufacturing Engineering; Mechanical Engineering
JOURNAL OF EUROPEAN PUBLIC POLICY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4.5,Q1,No,"The Journal of European Public Policy (JEPP) has established itself as one of the flagship journals in the study of public policy, European politics and the EU and aims to provide a comprehensive and definitive source of analytical, theoretical and methodological articles in these fields. Focusing on the dynamics of public policy in Europe, the journal encourages a wide range of social science approaches, both qualitative and quantitative. JEPP defines European public policy widely and welcomes innovative ideas and approaches. The main areas covered by the Journal are as follows: -theoretical and methodological approaches to the study of public policy in Europe and elsewhere -national public policy developments and processes in Europe -comparative studies of public policy within Europe -the public policy interface between nation states and the EU -the EU: its institutions, political processes and policies -the EU as an actor in regional and global affairs. In addition, JEPP publishes a Research Agenda Section and a Debate Section (edited by Michael Blauberger, University of Salzburg, Austria). Contributions to the Research Agenda Section are expected to review the state of the art in a particular field of interest and develop an innovative research agenda. The Debate Section comprises two or three brief articles, which take contrary or complementary standpoints on a common issue. The short debate format is meant to particularly encourage submissions on topical and controversial issues.Join the conversation about this journal",Social Sciences; Political Science and International Relations; Public Administration; Sociology and Political Science
BULLETIN OF INDONESIAN ECONOMIC STUDIES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.3,Q1,No,"The Bulletin of Indonesian Economic Studies (BIES) is the leading journal on Indonesia’s economy and society. It aims to address not only economic analysis and policy but also the intersection between economics, development, and area studies. In doing so, it plays an important role in helping the world—including Indonesians themselves—to better understand Indonesia. BIES has been published continuously since 1965. The editors welcome original papers and notes in economics, political economy, and related fields such as law and public policy, political science, demography, geography, the environment, education, and health. Regardless of topic or methodology, the primary focus must be Indonesia. The editors also look to publish discursive book reviews and review essays that contribute to the literature. BIES authors benefit from rigorous double-blind peer review, robust editing, free-access initiatives, a supportive self-archiving policy, and assistance in promoting their article after publication. The journal’s longstanding reputation as a well-respected outlet for high-quality research means each issue is read widely by Indonesianists everywhere. The journal’s practice of publishing article abstracts in both English and Bahasa Indonesia has increased the number of potential readers. In addition to the usual articles reporting economic analysis and research, each issue leads with an instalment of the comprehensive Survey of Recent Developments series, which records and analyses current trends, policy changes, and important economic events in Indonesia. The series aims to be reasonably accessible to non-specialists, and helps to account for the journal’s diverse readership within academia, government, and business and among the broader public.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics; Social Sciences; Development"
ECONOMIC POLICY,OXFORD UNIV PRESS,6.4,Q1,No,Economic Policy provides timely and authoritative analyses of the choices confronting policymakers. The subject matter ranges from the study of how individual markets can and should work to the broadest interactions in the world economy. Economic Policy features: Analysis of key issues as they emerge Views of top international economists Frontier thinking without technical jargon Wide-reaching coverage of worldwide policy debateJoin the conversation about this journal,"Economics, Econometrics and Finance; Economics and Econometrics; Environmental Science; Management, Monitoring, Policy and Law"
INTERNATIONAL JOURNAL OF OPERATIONS AND PRODUCTION MANAGEMENT,EMERALD GROUP PUBLISHING LTD,7.4,Q1,No,"IJOPM’s mission is to publish leading-edge, innovative research that has the potential to significantly advance the field of Operations and Supply Chain Management, theoretically and practically. Drawing on the experiences of both manufacturing and service industry sectors, in both private and public settings, the journal has become a widely respected resource in a complex and increasingly important field in business management. IJOPM articles can include: Empirical research articles Literature reviews, surveys and critiques of published articles Expert opinion papers – these will always be led by outstanding scholars. Occasional purely conceptual research – this is often a challenge for academics and the quality of content must be on par with other published articles in IJOPM in terms of rigor and potential The scope of the Journal covers all aspects of operations and supply chain management: manufacturing and service sectors, profit and non-for-profit organizations, including, but not limited to, the topics listed below.Join the conversation about this journal","Business, Management and Accounting; Management of Technology and Innovation; Strategy and Management; Decision Sciences; Decision Sciences (miscellaneous)"
ECONOMICA,WILEY,1.6,Q2,No,"Economica is an international journal covering research in all branches of economics published on behalf of the LSE Economics Department. It welcomes high-quality contributions from all parts of the international research community which are of interest to general readers. Economica is a leading economics journal, appearing high in the published citation rankings. From time to time the journal publishes special issues on selected topics, and are available either as single back issues or, if published in the current year, as part of the annual subscription.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics"
CANADIAN JOURNAL OF PUBLIC HEALTH REVUE CANADIENNE DE SANTE PUBLIQUE,SPRINGER INT PUBL AG,2.6,Q2,No,"The Canadian Journal of Public Health is dedicated to fostering excellence in public health research, scholarship, policy and practice. The aim of the Journal is to advance public health research and practice in Canada and around the world, thus contributing to the improvement of the health of populations and the reduction of health inequalities. CJPH publishes original research and scholarly articles submitted in either English or French that are relevant to population and public health. CJPH is an independent, peer‐reviewed journal owned by the Canadian Public Health Association and published by Springer.Join the conversation about this journal","Medicine; Medicine (miscellaneous); Public Health, Environmental and Occupational Health"
INDUSTRIAL RELATIONS,WILEY,2.6,Q2,No,"Corporate restructuring and downsizing, the changing employment relationship in union and nonunion settings, high performance work systems, the demographics of the workplace, and the impact of globalization on national labor markets - these are just some of the major issues covered in Industrial Relations. The journal offers an invaluable international perspective on economic, sociological, psychological, political, historical, and legal developments in labor and employment. It is the only journal in its field with this multidisciplinary focus on the implications of change for business, government and workers.Join the conversation about this journal","Business, Management and Accounting; Industrial Relations; Management of Technology and Innovation; Organizational Behavior and Human Resource Management; Strategy and Management"
ECOLOGICAL ECONOMICS,ELSEVIER,6.3,Q1,No,"The journal is concerned with extending and integrating the understanding of the interfaces and interplay between ""nature's household"" (ecosystems) and ""humanity's household"" (the economy). Ecological economics is an interdisciplinary field defined by a set of concrete problems or challenges related to governing economic activity in a way that promotes human well-being, sustainability, and justice. The journal thus emphasizes critical work that draws on and integrates elements of ecological science, economics, and the analysis of values, behaviors, cultural practices, institutional structures, and societal dynamics. The journal is transdisciplinary in spirit and methodologically open, drawing on the insights offered by a variety of intellectual traditions, and appealing to a diverse readership. Specific research areas covered include: valuation of natural resources, sustainable agriculture and development, ecologically integrated technology, integrated ecologic-economic modelling at scales from local to regional to global, implications of thermodynamics for economics and ecology, renewable resource management and conservation, critical assessments of the basic assumptions underlying current economic and ecological paradigms and the implications of alternative assumptions, economic and ecological consequences of genetically engineered organisms, and gene pool inventory and management, alternative principles for valuing natural wealth, integrating natural resources and environmental services into national income and wealth accounts, methods of implementing efficient environmental policies, case studies of economic-ecologic conflict or harmony, etc. New issues in this area are rapidly emerging and will find a ready forum in Ecological Economics.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics; Environmental Science; Environmental Science (miscellaneous)"
ECOLOGICAL INDICATORS,ELSEVIER,7.4,Q1,Yes,"The ultimate aim of Ecological Indicators is to integrate the monitoring and assessment of ecological and environmental indicators with management practices. The journal provides a forum for the discussion of the applied scientific development and review of traditional indicator applications as well as for theoretical, modelling and quantitative approaches such as index development. Research into the following areas will be published. All aspects of ecological and environmental indicators and indices. New indicators, and new approaches and methods for indicator development, testing and use. Development and modelling of indices, e.g. application of indicator suites across multiple scales and resources. Analysis and research of resource, system- and scale-specific indicators. Methods for integration of social and other valuation metrics for the production of scientifically rigorous and politically-relevant assessments using indicator-based monitoring and assessment programs. Approaches on how research indicators can be transformed into direct application for management purposes. Broader assessment objectives and methods, e.g. biodiversity, biological integrity, and sustainability, through the use of indicators. Resource-specific indicators such as landscape, agroecosystems, forests ecosystems, aquatic ecosystems, wetlands, etc.Join the conversation about this journal","Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics; Decision Sciences; Decision Sciences (miscellaneous); Environmental Science; Ecology"
JOURNAL OF POLICY MODELING,ELSEVIER SCIENCE INC,3.1,Q1,No,"The Journal is published by the Society for Policy Modeling as a forum for analysis and debate on policy issues. The Journal focuses upon the economic, social and political developments that now shape the world economy and the policies needed to improve them. The Journal emphasizes formal modeling techniques serving the purposes of decision making. Such a focus requires, in the first place, the highest academic standards, adherence to the state-of-the-art in the field, and the ability to critique prevailing conceptual methods. The proposed analytical instruments must be empirically validated on the basis of replicable data, and take into account the interdependence of economic trends over-time, countries and sectors.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics"
EXPERIMENTS IN FLUIDS,SPRINGER,2.5,Q2,No,"Experiments in Fluids examines the advancement, extension, and improvement of new techniques of flow measurement. The journal also publishes contributions that employ existing experimental techniques to gain an understanding of the underlying flow physics in the areas of turbulence, aerodynamics, hydrodynamics, convective heat transfer, combustion, turbomachinery, multi-phase flows, and chemical, biological and geological flows. In addition, readers will find papers that report on investigations combining experimental and analytical/numerical approaches.Join the conversation about this journal",Chemical Engineering; Fluid Flow and Transfer Processes; Engineering; Computational Mechanics; Mechanics of Materials; Physics and Astronomy; Physics and Astronomy (miscellaneous)
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,SPRINGER LONDON LTD,3.1,Q2,No,"The International Journal of Advanced Manufacturing Technology bridges the gap between pure research journals and the more practical publications on advanced manufacturing and systems. It therefore provides an outstanding forum for papers covering applications-based research topics relevant to manufacturing processes, machines and process integration. Published papers will continue to be to a high standard of excellence. This is ensured by subjecting each paper to a strict assessment procedure by members of the international editorial advisory board. The objective is firmly to establish that papers submitted do meet the requirements, especially in the context of proven applications-based research work. It is not acceptable that papers have a theoretical content alone, papers must demonstrate manufacturing applications. The journal covers the full range of advanced manufacturing technology, including: • Machining and forming technology • Non-traditional material removal processes • Machine tools technology • Materials joining • Laser technology and applications • Micro and nano-fabrication • Robotics, mechatronics and manufacturing automation • Precision engineering, inspection, measurement and metrology • Sustainable and green manufacturing • Additive manufacturing • Computer-integrated manufacturing systems • Application of evolutionary computing techniques in manufacturing operations • Manufacturing planning, optimization and simulation • Smart Manufacturing • Virtual Manufacturing.Join the conversation about this journal",Computer Science; Computer Science Applications; Software; Engineering; Control and Systems Engineering; Industrial and Manufacturing Engineering; Mechanical Engineering
INTERNATIONAL JOURNAL OF ENGINE RESEARCH,SAGE PUBLICATIONS LTD,2.1,Q2,No,"The International Journal of Engine Research publishes only the highest quality original and review papers on experimental and analytical studies of engine technology. The journal is intended to serve as the premier source of long-term reference information about all aspects of engines and related technologies, including the latest research and developments affecting the automotive, railway, marine and aerospace industries as well as engines used for stationary power generation. Original research papers are welcomed from all prospective authors. All manuscripts are rigorously reviewed by experienced and respected referees. Original research articles are expected to be thorough and complete, and to make a novel and significant contribution to the literature. Review articles are usually invited by the Editorial Board, although unsolicited review articles may be considered at the discretion of the Reviews Editor. Research topics of interest include: -In-cylinder flow- Mixture distribution- Ignition and combustion- Exhaust emissions- Combustion and emissions chemistry- Combustion engine performance- Fuel injection systems- Fuel spray technology- Fuels and lubricants- Conventional and alternative fuels- Piston-ring lubrication- Gas exchange processes- After-treatment technology- Electronic engine controls- 0D, 1D, 3D simulations of relevant thermophysical processes- Powertrain simulation- Optimatization of engines, powertrains and aftertreatment systems- Rocket engines- Gas turbine engines- e-motors- Engines and auxiliary power units for hybrid vehicles- Stationary power generationJoin the conversation about this journal",Engineering; Aerospace Engineering; Automotive Engineering; Mechanical Engineering; Ocean Engineering
JOURNAL OF AIR TRANSPORT MANAGEMENT,ELSEVIER SCI LTD,3.6,Q2,No,"The Journal of Air Transport Management (JATM) sets out to address, through high quality research articles and authoritative commentary, the major economic, management and policy issues facing the air transport industry today. It offers practitioners and academics an international and dynamic forum for analysis and discussion of these issues, linking research and practice and stimulating interaction between the two. The refereed papers in the journal cover all the major sectors of the industry (airlines, airports, air traffic management) as well as related areas such as tourism management and logistics. Papers are blind reviewed, normally by two referees, chosen for their specialist knowledge. The journal provides independent, original and rigorous analysis in the areas of: • Policy, regulation and law • Strategy • Operations • Marketing • Economics and finance • SustainabilityJoin the conversation about this journal","Business, Management and Accounting; Strategy and Management; Environmental Science; Management, Monitoring, Policy and Law; Social Sciences; Law; Transportation"
JOURNAL OF BUSINESS RESEARCH,ELSEVIER SCIENCE INC,9.8,Q1,No,"The Journal of Business Research applies theory developed from business research to actual business situations. Recognizing the intricate relationships between the many areas of business activity, JBR examines a wide variety of business decisions, processes and activities within the actual business setting. Theoretical and empirical advances in buyer behavior, finance, organizational theory and behavior, marketing, risk and insurance and international business are evaluated on a regular basis. Published for executives, researchers and scholars alike, the Journal aids the application of empirical research to practical situations and theoretical findings to the reality of the business world.Join the conversation about this journal","Business, Management and Accounting; Marketing"
CHINA ECONOMIC REVIEW,ELSEVIER SCIENCE INC,5.5,Q1,No,"The China Economic Review publishes original research works on the economy of China, and its relation to the world economy. We seek, in particular, quantitative and analytical papers dealing with institutional change, policy and performance of the Chinese economy; research that compares the development process in China with that in other countries is encouraged. Submissions are subjected to double-blind peer review.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics; Finance"
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,ELSEVIER,3.9,Q2,No,"The Journal of Engineering and Technology Management (JET-M) is an international scholarly refereed research journal which aims to promote the theory and practice of technology, innovation, and engineering management. The journal links engineering, science, and management disciplines. It addresses the issues involved in the planning, development, and implementation of technological capabilities to shape and accomplish the strategic and operational objectives of an organization. It covers not only R&D management, but also the entire spectrum of managerial concerns in technology-based organizations. This includes issues relating to new product development, human resource management, innovation process management, project management, technological fusion, marketing, technological forecasting and strategic planning. The journal provides an interface between technology and other corporate functions, such as R&D, marketing, manufacturing and administration. Its ultimate goal is to make a profound contribution to theory development, research and practice by serving as a leading forum for the publication of scholarly research on all aspects of technology, innovation, and engineering management.Join the conversation about this journal","Business, Management and Accounting; Industrial Relations; Strategy and Management; Decision Sciences; Information Systems and Management; Management Science and Operations Research; Engineering; Engineering (miscellaneous)"
JOURNAL OF FORECASTING,WILEY,2.7,Q1,No,"The Journal of Forecasting is an international journal that publishes refereed papers on forecasting. It is multidisciplinary, welcoming papers dealing with any aspect of forecasting: theoretical, practical, computational and methodological. A broad interpretation of the topic is taken with approaches from various subject areas, such as statistics, economics, psychology, systems engineering and social sciences, all encouraged. Furthermore, the Journal welcomes a wide diversity of applications in such fields as business, government, technology and the environment. Of particular interest are papers dealing with modelling issues and the relationship of forecasting systems to decision-making processes.Join the conversation about this journal","Business, Management and Accounting; Strategy and Management; Computer Science; Computer Science Applications; Decision Sciences; Management Science and Operations Research; Statistics, Probability and Uncertainty; Economics, Econometrics and Finance; Economics and Econometrics; Mathematics; Modeling and Simulation"
JOURNAL OF PRODUCTIVITY ANALYSIS,SPRINGER,1.8,Q2,No,"The Journal of Productivity Analysis publishes theoretical and applied research that addresses issues involving the measurement, explanation, and improvement of productivity. The broad scope of the journal encompasses productivity-related developments spanning the disciplines of economics, the management sciences, operations research, and business and public administration. Topics covered in the journal include, but are not limited to, productivity theory, organizational design, index number theory, and related foundations of productivity analysis. The journal also publishes research on computational methods that are employed in productivity analysis, including econometric and mathematical programming techniques, and empirical research based on data at all levels of aggregation, ranging from aggregate macroeconomic data to disaggregate microeconomic data. The empirical research illustrates the application of theory and techniques to the measurement of productivity, and develops implications for the design of managerial strategies and public policy to enhance productivity.Join the conversation about this journal","Business, Management and Accounting; Business and International Management; Economics, Econometrics and Finance; Economics and Econometrics; Social Sciences; Social Sciences (miscellaneous)"
EUROPEAN ECONOMIC REVIEW,ELSEVIER,2.4,Q2,No,"Established in 1969, European Economic Review is one of the oldest general-interest economics journals for all of Europe. It is intended as a primary publication for theoretical and empirical research in all areas of economics. The purpose of the journal is to select articles that will have high relevance and impact in a wide range of topics. All work submitted to the journal should be original in motivation or modeling and be capable of replication.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics; Finance"
TRANSPORT POLICY,ELSEVIER SCI LTD,5.3,Q1,No,"Transport Policy is an international refereed journal aimed at improving quality of transport policy and strategy analysis, designing and sharing innovative policy and management practices, and application bridging the gap between theory and practice in transport. Its subject areas reflect the concerns of policymakers in government, management strategists in industry, and the public at large, providing independent, original and rigorous analysis to understand how policy and strategy decisions have been made, monitor their effects, and suggest how they may be improved. The journal covers the entire transport sector including all modes: air, maritime, urban, intercity, domestic and international transport economics, policy and strategy issues, etc. Policy and strategy concerns in transport are wide and cover safety, efficiency, economic development, infrastructure, environment, energy, land-use, equity and access. Papers are expected to have clear policy and strategy relevance, to analyze/evaluate transport policies and strategies using up-to-date research methods (both quantitative and qualitative). Papers are also welcomed which focus on understanding the nature and influences affecting policy and strategy change, including technical, attitudinal, institutional, structural and political constraints, including those which provide a comparative analysis. Papers focusing only on methodological development without clear policy focus and relevance will NOT be considered. However, we welcome qualitative policy papers that build on the body of literature, and show clear contributions over and above what exist in the literature, and/or widely applicable to other jurisdictions. (Qualitative papers will NOT be considered if the author(s) advocate certain policy positions without presenting a rigorous framework of analysis.) Papers that focus entirely on individual case studies are more appropriate for our sister journal Case Studies in Transport Policy.Join the conversation about this journal","Social Sciences; Geography, Planning and Development; Law; Transportation"
